Budget_kUSD,Duration_Months,Team_Size,Scope_Changes,Quality_Incidents,Stakeholder_Count,Team_Experience_Years,Vendor_Reliability_Score,Complexity_Score,Risk_Level
486.63,8.1,5,4,1,3,1.4,4.4,5.7,Medium
304.33,13.2,18,4,3,6,7.7,5.0,2.4,Low
600.45,10.0,10,0,1,10,1.3,5.8,7.4,Medium
554.99,10.4,3,1,0,10,9.0,7.2,7.3,Low
359.02,13.8,9,2,0,12,5.3,8.7,9.7,Low
422.92,15.7,16,1,1,14,3.1,5.9,3.7,Low
341.12,12.1,8,1,1,13,8.7,6.1,7.8,Low
490.6,12.9,7,1,1,13,2.8,5.5,4.9,Low
643.27,17.1,2,5,0,10,4.5,5.5,6.0,Medium
352.14,12.7,16,3,0,12,10.2,9.7,8.3,Low
575.61,19.8,8,4,3,10,5.8,7.8,3.0,Low
420.46,13.7,18,1,0,6,0.9,4.9,4.1,Low
381.07,6.7,3,1,1,10,4.5,8.3,8.0,Medium
483.95,14.3,10,1,1,11,4.3,8.3,6.1,Low
344.71,13.1,10,1,0,9,5.4,8.0,1.8,Low
416.95,15.9,14,1,3,14,4.9,4.8,4.9,Low
320.32,14.0,7,2,0,4,6.1,6.4,6.3,Low
794.71,11.6,7,0,1,11,1.9,4.6,9.2,Medium
505.29,8.3,4,2,0,13,3.9,8.9,2.7,Low
395.04,11.4,18,7,0,10,5.6,7.9,8.3,Medium
532.1,9.4,18,2,0,7,3.5,7.0,2.2,Low
483.15,10.3,13,3,3,14,7.2,6.1,3.2,Low
466.85,13.8,17,1,1,5,3.5,5.1,3.2,Low
592.13,17.0,16,2,2,9,5.3,4.6,8.9,Medium
613.63,13.2,14,2,1,4,4.8,9.8,2.8,Low
420.42,8.4,2,3,0,5,3.0,5.2,8.1,Medium
413.63,13.3,18,1,2,14,5.1,4.4,5.2,Low
458.74,15.6,4,4,1,11,2.4,9.8,10.0,Medium
154.71,10.2,16,3,0,6,4.1,7.3,8.6,Low
272.72,11.6,5,3,0,6,5.1,8.8,7.7,Low
705.03,12.0,5,7,1,5,2.1,4.3,8.8,High
746.75,9.6,19,3,1,7,6.2,7.4,6.7,Low
462.64,13.9,18,5,2,5,5.5,6.4,8.6,Medium
586.48,11.6,12,3,0,11,6.1,8.6,3.4,Low
546.69,13.3,4,2,1,5,5.0,4.2,1.9,Low
961.83,9.3,9,2,0,4,2.7,6.4,6.5,Medium
667.94,10.7,15,1,1,14,5.0,8.8,4.9,Low
480.81,14.2,2,3,2,7,6.2,7.1,4.8,Low
356.67,10.9,15,0,1,8,2.6,7.3,5.7,Low
259.03,17.2,3,1,0,3,2.8,4.6,4.3,Low
530.52,10.8,5,1,1,14,4.5,4.8,6.6,Medium
386.55,12.7,7,2,0,13,4.3,8.1,1.3,Low
286.66,14.8,2,2,0,8,5.0,8.1,9.7,Low
403.01,7.7,18,0,0,12,4.4,9.9,9.3,Low
337.77,6.7,9,3,0,5,5.3,8.3,9.4,Low
753.07,7.4,2,1,2,6,7.4,7.0,4.3,Low
632.25,15.8,6,0,3,8,6.1,9.1,5.8,Low
498.8,10.3,17,3,0,10,5.1,4.6,9.6,Medium
721.99,19.7,7,2,1,11,2.8,6.7,9.1,Medium
511.61,10.3,9,0,0,8,3.6,5.7,8.1,Low
370.81,12.6,14,3,1,9,6.7,4.6,4.7,Low
728.47,16.6,17,2,0,7,4.1,8.6,6.1,Low
580.84,18.0,4,1,1,14,3.1,7.1,8.1,Medium
344.41,18.2,13,2,2,11,9.2,7.3,3.5,Low
471.45,15.6,17,2,0,6,8.0,6.5,6.6,Low
368.66,15.1,12,3,1,12,4.8,6.8,8.5,Low
292.58,13.8,11,5,1,13,2.8,4.7,7.4,Medium
638.93,14.3,5,2,1,8,6.4,8.0,5.3,Low
786.41,10.3,13,0,1,7,4.0,6.6,6.3,Low
290.21,9.5,3,2,1,3,6.8,8.9,9.9,Low
584.45,12.0,6,0,0,7,4.0,5.2,6.4,Low
402.4,11.5,9,2,0,7,8.3,5.2,8.1,Low
426.93,10.6,8,3,1,11,4.0,7.9,7.5,Medium
411.14,14.1,15,0,1,3,9.7,9.1,7.3,Low
370.4,14.9,4,2,2,7,5.4,6.8,7.4,Low
507.28,12.3,19,1,0,9,7.8,8.4,5.1,Low
375.36,16.4,17,2,0,13,3.9,10.0,5.3,Low
540.57,8.6,19,3,1,8,2.4,9.9,5.2,Low
492.46,11.4,17,4,0,8,0.5,8.5,1.3,Low
464.16,9.8,9,0,1,14,7.6,8.4,3.2,Low
363.87,6.4,2,0,1,9,5.1,5.5,2.4,Low
413.48,11.8,18,1,1,8,2.5,9.0,9.0,Low
613.31,11.6,13,1,2,7,7.6,6.4,3.5,Low
575.14,16.5,12,6,0,12,7.3,9.8,2.2,Low
353.37,13.9,6,3,1,7,7.8,4.5,2.1,Low
514.9,8.9,13,1,3,11,2.3,6.6,7.3,Medium
612.71,17.6,18,3,0,10,7.5,7.3,1.1,Low
249.59,15.7,7,2,2,14,5.8,6.4,5.2,Low
581.5,13.7,2,1,4,12,7.9,5.3,2.1,Low
400.61,11.3,6,2,0,6,6.1,7.6,8.6,Low
585.59,9.1,15,3,1,6,5.3,8.5,9.6,Medium
385.51,10.9,6,1,2,12,7.5,7.9,9.6,Medium
229.27,15.3,2,6,1,7,6.7,5.4,5.0,Low
255.87,17.7,19,2,0,5,7.2,8.4,6.8,Low
507.21,16.6,17,0,2,10,4.0,5.5,6.4,Low
538.96,10.5,10,2,3,9,4.7,5.1,4.2,Medium
364.35,8.6,6,3,3,7,1.5,8.1,5.0,Medium
595.79,12.4,3,1,2,12,3.9,9.1,1.6,Low
250.77,6.7,16,3,0,5,6.6,6.9,8.2,Low
490.09,13.0,8,0,0,7,6.1,7.2,3.2,Low
318.35,11.6,5,1,0,5,3.0,5.8,5.1,Low
402.22,10.6,2,2,2,12,7.6,7.0,5.3,Low
507.11,7.2,14,1,0,7,10.9,4.8,6.0,Low
370.94,13.5,8,1,1,3,3.2,9.7,8.4,Low
442.32,10.4,16,3,0,8,4.6,8.8,7.2,Low
650.94,8.5,15,3,0,12,3.8,8.0,7.0,Low
413.47,3.4,19,1,1,6,4.8,7.2,5.7,Low
625.35,11.9,11,0,1,6,5.5,8.8,1.9,Low
330.54,17.3,10,2,6,10,3.6,7.0,4.6,Medium
579.47,17.0,9,5,0,4,4.4,5.8,9.6,Medium
716.24,10.6,11,0,0,6,5.2,5.0,10.0,Medium
129.25,10.2,18,1,0,4,5.9,7.9,7.6,Low
380.47,13.4,3,2,1,3,7.9,9.6,3.0,Low
586.56,9.0,7,1,2,12,5.0,4.9,1.9,Low
469.54,12.9,6,3,2,5,3.9,5.1,4.7,Low
555.67,14.3,10,2,1,14,6.4,6.6,8.7,Medium
409.4,15.7,6,2,1,10,5.8,8.8,7.5,Low
512.99,11.7,19,4,2,8,4.6,5.8,9.0,Medium
476.65,11.4,10,4,0,14,6.0,5.5,6.5,Medium
675.17,9.4,18,0,2,9,4.2,7.7,2.2,Low
538.16,9.5,18,3,1,4,3.9,7.2,2.0,Low
550.64,11.3,13,3,2,8,1.2,4.4,1.4,Low
438.22,13.1,8,1,0,10,4.3,4.5,6.1,Low
426.86,14.7,4,4,4,10,1.5,7.9,3.2,Medium
435.12,9.6,11,3,1,6,3.7,6.8,7.6,Medium
559.17,16.5,3,1,1,8,6.2,9.8,7.2,Low
436.85,11.2,4,1,0,7,2.0,8.1,3.9,Low
543.47,11.9,17,1,1,11,4.6,4.1,2.6,Low
811.31,9.8,3,1,0,10,5.1,6.9,1.9,Low
630.67,4.7,11,1,1,4,4.5,6.5,7.6,Medium
451.1,14.7,7,1,0,14,4.0,4.6,5.1,Low
680.18,14.2,12,1,0,9,5.7,9.5,3.9,Low
438.79,11.2,8,6,2,9,5.9,8.8,8.7,Medium
194.28,12.2,16,2,2,13,5.0,5.4,6.3,Low
348.79,13.5,7,0,2,14,4.1,5.5,5.7,Low
219.38,7.3,10,2,0,3,6.7,4.2,7.7,Low
447.27,10.4,13,1,2,3,2.4,5.8,8.3,Low
502.76,14.4,4,2,1,14,6.4,7.5,7.2,Medium
751.47,8.2,16,3,2,6,5.8,6.5,5.0,Low
549.04,12.9,3,2,1,7,5.4,9.8,4.4,Low
467.13,7.9,3,1,0,6,5.0,4.3,7.9,Medium
624.41,13.4,4,4,2,9,1.2,7.5,5.7,Medium
168.33,11.9,7,2,1,5,7.8,9.1,7.3,Low
535.34,7.2,16,5,0,9,6.7,6.9,9.0,Medium
615.63,15.5,11,0,1,10,3.1,4.0,9.2,Medium
278.21,9.8,10,1,1,8,6.5,5.5,3.5,Low
671.56,9.6,2,0,1,8,5.4,5.9,2.7,Low
550.77,12.6,17,2,3,10,3.8,9.8,3.4,Low
437.71,15.4,7,1,1,10,7.4,9.5,7.8,Low
594.92,9.0,10,2,2,9,4.1,9.7,4.3,Low
840.6,12.2,5,2,1,8,7.7,9.0,2.6,Low
527.28,13.3,3,2,2,8,6.1,6.1,1.9,Low
537.23,14.1,5,3,1,12,6.9,9.4,3.9,Low
431.1,12.5,2,1,0,13,6.2,9.9,2.2,Low
372.52,10.9,11,1,2,8,6.1,6.1,2.4,Low
624.55,9.5,16,3,1,10,5.4,5.6,7.2,Medium
371.59,12.3,17,2,4,3,3.5,7.3,1.2,Low
510.73,8.8,5,5,0,7,5.1,5.1,2.1,Low
428.35,3.2,3,2,1,5,6.8,4.2,8.6,Medium
571.85,13.3,14,0,0,14,6.4,9.7,8.6,Low
550.05,14.7,2,1,1,10,6.0,9.6,4.0,Low
655.63,4.9,18,2,5,13,0.8,5.0,1.8,Medium
423.5,9.0,14,2,1,8,4.6,6.4,7.3,Low
459.52,13.9,5,4,2,4,4.4,9.0,4.2,Low
353.19,18.2,8,2,0,9,2.8,8.0,1.4,Low
433.36,12.1,18,2,1,9,6.8,6.4,2.4,Low
556.6,9.8,10,1,2,7,0.9,8.5,2.2,Low
613.55,11.5,5,3,1,10,6.7,9.4,6.3,Low
361.68,16.1,2,3,1,7,7.7,9.6,9.1,Low
630.44,10.1,11,4,1,3,4.6,6.3,8.1,Medium
703.35,9.6,5,5,0,11,4.9,5.0,5.9,Medium
562.02,10.6,10,0,1,6,6.9,9.5,4.8,Low
781.52,9.1,14,0,1,4,3.5,4.6,6.6,Low
383.93,12.4,15,3,3,6,6.3,8.3,5.0,Low
313.3,16.9,11,0,1,11,3.2,4.8,3.2,Low
233.19,13.0,7,2,0,4,2.6,6.3,7.1,Low
724.41,11.2,17,4,3,6,5.6,6.5,8.9,Medium
598.15,11.1,7,3,0,4,4.9,5.0,4.4,Low
491.66,7.3,18,0,0,7,1.6,9.5,8.6,Low
542.0,14.6,11,0,2,5,7.8,4.0,4.9,Low
331.18,11.8,19,2,1,12,4.2,9.4,4.6,Low
866.86,11.5,19,2,1,4,6.0,9.3,1.3,Low
519.38,21.6,4,1,3,11,8.2,5.9,7.3,Low
516.41,12.9,16,2,0,7,5.5,8.2,8.3,Low
608.86,9.7,16,0,0,12,7.5,5.5,7.0,Low
572.15,10.7,5,3,1,7,3.3,8.6,2.4,Low
533.58,15.4,10,0,3,3,7.8,7.4,1.9,Low
381.43,12.3,18,0,0,8,3.3,5.8,6.2,Low
570.72,7.7,12,1,1,9,3.9,6.4,4.6,Low
782.3,14.8,10,2,2,3,2.1,8.1,4.9,Low
701.81,10.0,11,1,1,11,5.5,9.4,9.7,Medium
738.98,17.6,19,4,0,10,6.3,4.8,7.5,Low
423.32,15.2,14,5,4,14,6.5,7.4,4.7,Medium
351.56,10.7,9,1,0,10,2.1,5.5,1.2,Low
481.13,15.8,8,2,0,9,5.7,8.8,1.3,Low
508.36,12.2,18,3,1,7,5.8,4.4,7.2,Low
664.13,14.6,16,3,1,5,6.2,8.1,8.5,Low
246.13,13.5,16,2,2,14,3.5,5.0,7.4,Low
729.43,9.5,2,0,0,11,0.5,7.6,4.7,Medium
476.3,10.1,15,0,2,9,6.4,9.0,1.3,Low
435.97,15.1,6,0,1,13,4.7,8.5,9.7,Low
348.18,11.0,12,3,2,12,5.6,8.5,9.9,Medium
251.77,10.8,17,1,2,12,4.8,7.1,5.9,Low
623.48,9.1,3,5,0,10,5.5,9.3,1.6,Low
511.0,13.3,9,2,1,8,6.5,7.5,5.9,Low
306.51,18.2,12,3,0,14,1.3,9.5,9.0,Low
305.74,8.8,19,4,2,13,7.3,7.3,7.1,Low
449.63,12.1,4,0,0,7,4.6,7.0,7.5,Low
750.35,16.2,2,0,0,10,8.3,5.3,1.8,Low
461.06,11.8,12,0,1,5,4.1,7.3,2.0,Low
274.53,13.4,17,1,0,14,3.6,4.8,2.1,Low
463.14,8.8,19,1,0,9,4.7,9.2,9.1,Low
459.09,13.3,17,1,1,4,6.0,8.1,5.7,Low
100.0,11.4,11,1,1,5,4.5,10.0,8.1,Low
491.86,15.0,19,2,0,14,6.1,4.6,2.0,Low
465.36,15.6,7,1,1,4,4.2,5.4,9.3,Low
604.43,19.8,5,1,1,7,5.1,9.3,8.4,Low
777.34,13.7,14,3,1,9,9.5,6.4,3.0,Low
668.98,13.0,15,1,0,13,5.7,6.8,8.9,Low
459.67,12.6,4,2,2,12,5.9,9.2,3.4,Low
334.02,10.9,11,1,1,13,2.1,7.1,2.8,Low
886.0,13.0,7,2,2,13,7.7,5.2,3.4,Low
508.88,11.1,2,3,2,13,7.1,9.4,9.2,Medium
502.09,12.5,15,3,2,12,3.6,4.2,9.2,Medium
496.38,16.0,9,0,2,3,7.1,9.4,4.0,Low
529.71,9.0,15,2,1,12,5.7,4.3,7.3,Medium
478.35,15.4,11,0,2,11,5.1,8.0,7.1,Low
413.95,16.0,18,3,1,3,7.6,4.4,8.3,Low
417.97,11.6,10,3,0,3,4.0,8.2,3.7,Low
495.09,5.6,7,1,1,14,3.6,4.2,5.6,Medium
418.49,10.2,12,0,1,12,5.4,9.1,7.0,Low
393.07,15.9,8,1,2,10,6.1,6.8,1.2,Low
515.96,11.9,18,1,3,8,6.9,4.6,4.4,Low
461.75,9.0,2,1,0,8,4.7,8.2,7.3,Low
725.6,10.5,6,2,0,14,3.3,6.9,3.3,Low
102.35,14.5,10,4,4,11,10.1,5.1,9.6,Medium
663.73,13.6,19,2,3,6,2.8,4.1,1.3,Low
686.91,11.3,3,3,2,10,5.1,6.5,9.6,High
188.99,10.9,12,2,1,6,6.6,4.5,3.0,Low
448.6,10.8,7,3,2,4,7.3,4.6,1.4,Low
444.28,9.2,9,3,2,13,3.9,5.6,3.6,Medium
288.87,16.8,5,0,0,10,1.3,7.8,8.1,Low
383.33,11.0,19,1,1,14,3.8,7.2,7.8,Low
333.41,15.7,12,2,0,9,6.7,4.4,2.9,Low
762.84,16.6,6,3,1,6,6.3,9.8,2.8,Low
640.35,15.0,16,0,1,11,6.3,9.3,6.8,Low
690.73,10.7,19,1,1,11,6.4,5.6,5.1,Low
608.25,13.2,3,4,3,10,7.7,4.7,8.1,High
330.64,11.9,12,2,0,3,3.4,9.7,1.2,Low
421.32,9.3,14,1,2,9,2.6,6.8,6.5,Low
573.41,13.0,5,1,0,7,5.7,5.9,7.6,Low
316.68,8.5,8,1,1,9,2.9,6.9,9.9,Medium
606.95,15.6,12,3,1,14,2.5,8.6,7.1,Medium
463.95,10.6,5,1,2,11,7.4,5.0,3.1,Low
443.78,12.6,16,2,2,4,5.5,8.6,2.0,Low
606.64,12.8,2,5,1,13,5.1,8.5,6.8,Medium
566.64,11.2,4,0,1,6,5.1,7.2,5.7,Low
445.86,13.8,15,3,0,6,4.8,9.2,9.1,Low
673.9,10.6,7,2,1,4,7.4,4.8,7.5,Medium
337.84,14.6,19,1,1,5,2.0,7.6,5.6,Low
592.39,8.0,2,1,2,13,1.9,6.7,4.6,Medium
588.97,12.4,7,3,2,10,3.1,6.5,4.6,Medium
453.57,17.8,7,1,1,14,5.6,5.5,3.0,Low
548.92,9.0,17,1,1,11,8.6,6.2,1.2,Low
312.33,10.0,6,1,1,8,6.7,4.6,6.2,Low
638.6,13.5,18,2,1,12,6.2,5.5,2.9,Low
472.26,12.5,11,1,1,4,4.8,5.6,2.9,Low
421.59,13.1,19,2,0,4,2.3,8.3,2.1,Low
657.35,13.5,8,3,2,9,6.0,4.3,2.7,Low
394.35,13.9,4,2,1,10,9.1,7.9,1.3,Low
288.73,15.3,14,3,1,10,4.5,5.3,7.1,Low
266.51,13.2,16,2,2,8,3.9,4.5,4.6,Low
590.9,11.3,4,1,1,12,4.5,5.8,6.1,Medium
307.94,14.0,5,2,1,10,6.2,5.3,6.7,Low
763.22,17.7,6,3,1,3,5.2,7.3,9.8,Medium
187.71,11.6,2,2,2,11,6.8,6.1,1.6,Low
754.47,9.1,5,0,1,14,4.9,9.8,4.8,Low
531.65,15.3,13,3,2,3,4.5,9.8,3.2,Low
485.49,11.6,11,1,0,5,5.5,6.7,5.3,Low
418.26,5.5,14,1,0,14,3.9,8.8,9.3,Low
559.87,14.5,15,4,1,11,8.5,4.1,7.5,Low
494.35,10.4,6,3,1,13,6.6,7.3,7.0,Medium
665.5,11.7,5,3,2,7,2.8,8.5,5.0,Medium
517.13,13.0,15,2,2,11,3.5,5.3,7.0,Medium
522.55,12.6,11,1,0,11,6.1,4.4,1.3,Low
445.46,14.1,18,1,2,8,5.4,4.9,6.3,Low
491.46,10.7,11,0,1,13,5.6,6.7,6.0,Low
546.17,13.5,8,4,1,3,4.6,7.0,4.1,Low
243.47,11.2,17,3,1,12,5.9,6.3,2.8,Low
297.77,14.2,2,0,1,9,4.7,6.6,8.3,Low
611.49,13.8,18,0,1,8,6.1,6.8,1.5,Low
525.63,9.2,10,6,1,11,6.5,8.6,1.6,Low
472.4,15.3,7,2,1,9,8.2,4.6,5.0,Low
502.77,10.4,14,6,1,14,4.0,8.6,3.3,Low
552.14,14.4,4,0,0,13,5.0,8.1,7.7,Low
419.04,13.1,8,2,1,14,2.6,8.4,6.7,Low
383.25,17.5,10,0,2,6,8.7,8.4,8.0,Low
529.38,11.3,6,1,1,9,1.0,6.8,3.9,Low
353.24,11.0,11,6,0,4,8.4,5.3,7.7,Low
561.24,11.9,18,1,2,8,5.2,7.2,8.8,Low
244.61,11.1,13,2,0,8,5.8,9.7,4.1,Low
654.37,14.4,17,1,0,4,4.7,7.5,4.1,Low
570.89,7.2,4,1,0,6,5.1,4.1,9.1,Medium
538.4,8.8,10,4,1,10,6.2,4.4,1.4,Low
647.4,8.8,16,5,3,10,1.7,10.0,4.2,Medium
749.82,14.9,6,3,2,10,3.7,4.4,2.1,Medium
652.16,17.1,14,1,1,10,3.3,4.3,1.3,Low
223.87,11.7,15,2,1,3,5.9,6.1,2.0,Low
308.06,11.5,16,3,2,4,5.0,9.8,4.9,Low
406.28,12.2,17,3,0,14,6.2,5.9,7.2,Low
503.91,15.5,14,3,0,6,5.3,6.5,3.6,Low
577.65,9.2,18,3,1,14,7.1,7.8,8.6,Low
391.14,12.7,9,2,1,11,3.5,4.1,4.9,Low
528.02,14.9,3,3,0,5,5.1,9.4,9.7,Low
386.69,13.5,6,5,1,8,7.2,7.1,9.6,Medium
408.27,12.6,7,0,1,9,6.8,6.8,8.0,Low
289.0,15.0,13,1,1,10,2.0,9.2,9.4,Low
361.52,3.9,19,3,0,9,3.0,9.7,7.4,Low
297.25,14.0,2,1,2,5,4.8,6.5,9.1,Medium
353.62,10.0,18,0,1,8,4.5,5.0,3.1,Low
658.05,6.5,12,1,0,7,4.9,8.9,4.1,Low
357.59,13.5,11,3,0,14,6.6,6.4,7.8,Low
894.86,16.1,15,3,5,12,5.6,9.6,4.8,Medium
574.0,11.6,11,3,0,6,5.7,9.7,8.5,Low
527.73,14.9,16,2,0,3,6.3,4.7,8.9,Low
371.25,16.8,5,2,4,9,7.1,9.7,3.7,Low
605.05,15.9,3,2,1,10,0.5,6.2,8.4,Medium
413.65,16.9,10,3,2,4,4.2,7.9,2.4,Low
518.3,14.2,11,2,2,9,3.2,4.2,4.0,Low
884.01,12.2,12,1,0,8,6.0,9.3,5.7,Low
485.59,7.2,15,2,3,7,4.1,7.8,3.0,Low
672.39,11.3,8,3,0,6,5.2,7.9,6.2,Low
394.52,9.5,16,1,0,4,6.7,9.4,6.2,Low
494.75,18.5,16,3,0,12,3.8,7.1,2.9,Low
765.62,11.5,9,1,0,8,5.7,6.5,8.2,Low
405.95,12.4,12,1,1,7,8.1,9.2,6.7,Low
771.87,13.7,10,0,1,4,6.7,8.5,3.9,Low
606.16,12.1,16,1,0,12,1.8,9.7,3.1,Low
415.63,17.1,2,1,3,9,4.4,9.6,8.9,Medium
594.86,10.1,2,0,0,8,5.7,6.3,8.5,Medium
645.88,12.6,4,0,1,14,6.1,6.7,3.1,Low
593.27,9.8,11,1,1,13,4.5,5.5,1.3,Low
264.47,8.0,9,1,1,11,3.7,8.0,8.2,Low
390.93,10.2,16,2,3,13,5.1,6.2,6.5,Medium
462.87,11.9,11,0,2,12,2.8,8.7,1.9,Low
488.83,10.7,2,2,0,7,7.2,4.7,6.3,Low
593.1,9.9,19,0,2,11,8.7,4.7,5.1,Low
526.66,7.8,3,2,0,11,5.8,5.2,8.0,Medium
299.7,11.8,14,4,1,3,4.5,4.5,2.9,Low
557.03,7.5,2,0,1,7,6.9,7.7,5.1,Low
591.59,14.3,3,1,1,11,6.5,4.9,2.4,Low
583.97,12.2,17,3,1,9,4.4,5.0,9.6,Medium
662.12,7.6,16,3,2,8,4.9,4.1,8.0,Medium
625.09,11.1,14,0,1,8,3.8,8.7,7.6,Low
568.88,9.7,17,1,0,13,5.3,8.9,7.2,Low
489.48,13.0,18,3,1,9,5.6,5.0,4.8,Low
250.86,16.0,8,1,1,3,3.4,8.4,9.3,Low
564.44,6.4,18,4,0,6,2.9,6.6,1.7,Low
531.15,12.3,8,0,0,3,2.3,5.4,8.2,Low
540.74,11.5,14,2,1,8,5.8,7.7,2.9,Low
308.49,14.0,6,0,1,6,5.0,5.1,3.9,Low
337.84,12.6,18,1,0,3,4.8,8.5,5.7,Low
657.97,9.7,4,2,2,11,5.9,4.3,8.0,High
494.07,11.0,8,0,1,14,3.2,9.8,8.5,Low
602.23,9.6,18,4,4,6,2.9,4.4,6.3,Medium
504.25,15.2,8,2,2,14,5.5,7.5,4.6,Low
504.46,12.1,2,2,3,8,1.5,9.4,9.5,High
640.74,17.7,18,0,2,9,4.5,4.1,3.2,Low
422.59,11.8,18,2,1,10,9.9,7.0,8.2,Low
514.42,9.9,12,2,1,14,2.3,6.1,6.5,Medium
430.66,7.5,4,0,3,13,4.1,7.5,4.4,Medium
434.83,6.6,16,0,0,11,0.8,5.4,1.0,Low
453.62,7.2,12,1,0,11,4.5,4.4,5.0,Low
533.32,12.8,17,3,1,10,8.9,7.8,3.5,Low
428.19,13.5,10,1,1,12,5.9,6.5,1.9,Low
688.36,7.3,2,4,1,13,3.8,7.7,1.7,Medium
365.81,14.7,17,0,1,14,9.4,5.3,4.1,Low
471.97,10.6,10,2,0,14,1.5,6.0,6.5,Medium
434.04,12.4,13,3,0,5,5.9,7.4,8.5,Low
717.05,16.8,10,3,1,14,5.1,7.6,2.7,Low
529.48,14.7,8,2,0,4,4.5,6.2,4.8,Low
654.78,11.2,15,0,0,7,6.6,5.7,4.5,Low
277.17,9.3,3,2,1,3,2.6,5.6,5.6,Low
540.06,5.5,10,1,0,5,5.6,5.0,8.3,Low
633.44,9.8,14,3,0,3,5.4,6.0,6.0,Low
512.34,11.4,16,3,2,5,3.3,5.2,8.6,Medium
659.82,9.0,4,4,2,6,8.9,7.8,5.7,Medium
422.41,11.6,12,2,3,9,4.6,7.4,6.4,Low
711.4,12.2,15,1,1,14,4.7,6.3,4.9,Low
844.83,11.3,9,2,1,14,2.9,6.0,8.4,High
445.57,10.0,19,1,0,7,4.7,5.4,9.3,Low
433.17,12.5,17,1,1,7,9.7,7.2,6.8,Low
718.01,13.3,3,3,1,3,4.5,9.5,8.4,Medium
736.94,8.7,9,1,0,10,6.0,8.1,1.5,Low
421.57,16.2,7,1,2,6,6.9,8.5,9.2,Low
436.97,11.7,13,4,0,12,4.6,9.0,2.7,Low
457.73,12.1,16,3,0,7,4.2,6.1,3.3,Low
298.33,14.1,9,3,2,4,5.9,4.4,1.5,Low
362.2,12.7,5,1,3,14,4.5,7.7,9.7,Medium
349.38,14.9,16,4,0,3,4.3,5.1,8.7,Low
384.83,12.9,18,2,2,11,6.9,7.4,9.2,Low
494.8,10.2,14,2,1,4,4.9,8.4,8.6,Low
535.13,13.1,19,1,1,8,7.4,8.7,5.3,Low
732.58,8.6,3,4,1,3,4.8,5.8,9.3,High
350.25,12.3,14,1,4,3,2.4,7.1,9.7,Medium
647.65,11.9,14,4,1,11,0.5,7.7,5.5,Medium
467.9,11.4,16,3,0,6,1.3,8.9,2.6,Low
492.58,11.6,11,2,0,11,1.7,8.6,6.9,Low
601.22,6.4,4,1,0,13,5.5,9.9,9.8,Medium
331.59,10.4,4,1,1,7,3.1,4.0,8.8,Medium
557.36,12.3,15,1,1,9,1.1,6.6,8.8,Medium
524.97,12.5,9,5,1,3,4.7,5.5,9.4,Medium
573.87,8.9,5,2,1,8,2.8,4.7,9.0,High
543.38,15.8,12,0,0,10,5.9,9.5,8.0,Low
868.3,9.4,12,2,2,3,5.9,10.0,7.5,Low
404.34,14.9,12,6,1,11,6.1,5.1,3.4,Low
420.35,13.3,3,0,1,5,0.5,4.2,6.6,Medium
406.53,10.1,18,3,2,3,5.1,5.7,5.7,Low
416.68,17.3,10,0,0,3,4.8,9.0,8.8,Low
404.39,8.4,3,1,1,13,2.6,5.8,5.4,Medium
678.35,14.8,16,1,0,8,0.7,4.3,2.1,Low
713.08,15.0,17,0,1,13,4.8,4.3,1.0,Low
414.39,10.0,5,3,1,8,7.1,6.6,7.1,Medium
375.15,16.2,9,2,1,3,0.5,9.6,5.9,Low
570.71,11.2,10,2,1,5,3.3,5.7,4.0,Low
417.17,12.9,6,1,2,9,5.3,6.6,2.5,Low
594.94,12.8,17,2,1,12,7.2,4.6,5.2,Low
530.44,11.6,14,3,1,5,4.4,7.0,1.9,Low
272.64,14.4,8,2,0,5,8.9,8.2,4.0,Low
732.13,14.4,18,0,1,5,1.4,5.6,4.4,Low
769.38,6.8,4,4,3,14,1.0,5.8,5.2,High
408.08,15.9,6,2,0,9,7.0,9.1,5.2,Low
441.84,7.0,13,2,3,6,0.5,4.1,3.3,Medium
542.88,15.1,8,3,0,6,5.9,7.8,8.7,Low
550.17,15.4,10,1,0,5,4.4,6.4,4.2,Low
598.78,8.7,7,3,1,12,3.2,5.8,3.1,Medium
801.53,10.8,18,0,0,13,4.1,7.9,2.6,Low
473.46,8.7,17,0,0,11,2.4,9.0,3.9,Low
380.26,11.4,4,2,0,4,4.4,7.4,1.6,Low
293.1,11.1,5,5,2,6,5.0,4.2,1.3,Low
390.36,14.3,11,1,0,10,4.2,6.8,6.4,Low
495.03,15.9,6,3,0,8,3.8,6.8,6.6,Low
769.18,16.2,11,1,0,9,5.5,7.3,5.8,Low
422.36,10.3,13,0,0,9,8.3,8.0,7.9,Low
533.57,11.4,11,4,1,4,4.5,4.1,1.4,Low
497.54,6.9,14,1,0,6,6.6,7.0,9.4,Low
678.26,9.6,12,3,0,12,3.1,7.5,1.9,Low
879.04,14.9,17,0,2,12,2.3,6.1,7.1,Low
420.37,16.8,9,1,2,8,5.9,8.0,2.2,Low
426.58,8.3,9,0,1,5,4.5,5.4,8.9,Low
656.62,10.2,9,3,1,11,7.3,5.9,5.6,Low
602.28,11.9,14,1,2,6,7.7,9.8,1.7,Low
777.01,12.8,3,1,6,12,6.7,6.1,6.6,High
587.59,9.6,13,3,0,4,6.6,6.1,1.1,Low
446.11,13.3,11,2,4,8,0.5,7.6,8.0,Medium
